Player,Nation,Squad,Age,Position,ETV
Kenny Tete,NED,Fulham,29-187,DF,€13.4M
Kepa Arrizabalaga,ESP,Bournemouth,30-193,GK,€11.4M
Kevin De Bruyne,BEL,Manchester City,33-290,MF,
Kevin Schade,GER,Brentford,23-138,FW,€29.7M
Kieran Trippier,ENG,Newcastle Utd,34-207,DF,€4.5M
Kobbie Mainoo,ENG,Manchester Utd,19-360,MF,€54.8M
Konstantinos Mavropanos,GRE,West Ham,27-124,DF,
Kristoffer Ajer,NOR,Brentford,26-362,DF,€21.5M
Kyle Walker,ENG,Manchester City,34-321,DF,
Kyle Walker-Peters,ENG,Southampton,28-001,DF,€16.6M
Leandro Trossard,BEL,Arsenal,30-131,FW,€31.8M
Leif Davis,ENG,Ipswich Town,25-092,DF,
Leny Yoro,FRA,Manchester Utd,19-152,DF,€66.2M
Leon Bailey,JAM,Aston Villa,27-248,"FW,MF",€38.6M
Lesley Ugochukwu,FRA,Southampton,21-019,MF,
Levi Colwill,ENG,Chelsea,22-047,DF,€59.8M
Lewis Cook,ENG,Bournemouth,28-070,"MF,DF",
Lewis Dunk,ENG,Brighton,33-144,DF,€7.1M
Lewis Hall,ENG,Newcastle Utd,20-218,DF,€36.1M
Liam Delap,ENG,Ipswich Town,22-065,FW,€33M
Lisandro Martínez,ARG,Manchester Utd,27-086,DF,€49.2M
Lucas Bergvall,SWE,Tottenham,19-071,MF,€31.3M
Lucas Digne,FRA,Aston Villa,31-268,DF,€14.8M
Lucas Paquetá,BRA,West Ham,27-230,"MF,FW",€73.5M
Luis Díaz,COL,Liverpool,28-091,FW,€69.3M
Luke Woolfenden,ENG,Ipswich Town,26-175,DF,€2M
Mads Hermansen,DEN,Leicester City,24-277,GK,
Mads Roerslev,DEN,Brentford,25-294,DF,
Malo Gusto,FRA,Chelsea,21-330,DF,€36.1M
Manuel Akanji,SUI,Manchester City,29-269,DF,€43.7M
Manuel Ugarte Ribeiro,URU,Manchester Utd,24-003,MF,
Marc Cucurella,ESP,Chelsea,26-266,DF,€39.6M
Marc Guéhi,ENG,Crystal Palace,24-275,DF,€48.9M
Marcos Senesi,ARG,Bournemouth,27-339,DF,
Marcus Rashford,ENG,Manchester Utd,27-165,"FW,MF",€58.6M
Marcus Tavernier,ENG,Bournemouth,26-023,"FW,MF",€24.4M
Mario Lemina,GAB,Wolves,31-225,"MF,DF",
Mark Flekken,NED,Brentford,31-305,GK,€13.9M
Martin Ødegaard,NOR,Arsenal,26-118,MF,€125.8M
Mateo Kovačić,CRO,Manchester City,30-343,MF,€25.3M
Mateus Fernandes,POR,Southampton,20-278,MF,€22.5M
Matheus Cunha,BRA,Wolves,25-322,"MF,FW",€62.6M
Matheus Nunes,POR,Manchester City,26-230,"DF,MF",€42.3M
Matt Doherty,IRL,Wolves,33-088,DF,€4M
Matthijs de Ligt,NED,Manchester Utd,25-245,DF,€50.8M
Matty Cash,POL,Aston Villa,27-250,DF,€32.8M
Matz Sels,BEL,Nott'ham Forest,33-047,GK,€10.2M
Max Kilman,ENG,West Ham,27-326,DF,€39.3M
Maxence Lacroix,FRA,Crystal Palace,25-008,DF,
Micky van de Ven,NED,Tottenham,23-360,DF,€62M
Mikel Merino,ESP,Arsenal,28-296,"MF,FW",€39.7M
Mikkel Damsgaard,DEN,Brentford,24-285,"MF,FW",€28.6M
Milos Kerkez,HUN,Bournemouth,21-158,DF,
Mohamed Salah,EGY,Liverpool,32-303,FW,€18.3M
Mohammed Kudus,GHA,West Ham,24-255,"FW,MF",€63M
Moisés Caicedo,ECU,Chelsea,23-163,MF,€82.8M
Morgan Gibbs-White,ENG,Nott'ham Forest,25-077,MF,€61.7M
Morgan Rogers,ENG,Aston Villa,22-262,"FW,MF",€79.6M
Murillo,BRA,Nott'ham Forest,22-284,DF,€66M
Myles Lewis-Skelly,ENG,Arsenal,18-200,DF,€35.7M
Nathan Collins,IRL,Brentford,23-349,DF,€30.7M
Neco Williams,WAL,Nott'ham Forest,24-001,DF,€22.6M
Nick Pope,ENG,Newcastle Utd,32-360,GK,€11.5M
Nicolas Jackson,SEN,Chelsea,23-298,FW,€66.9M
Nicolás Domínguez,ARG,Nott'ham Forest,26-290,"MF,FW",
Nikola Milenković,SRB,Nott'ham Forest,27-184,DF,€40.6M
Noni Madueke,ENG,Chelsea,23-035,FW,€52.3M
Noussair Mazraoui,MAR,Manchester Utd,27-151,DF,€45.3M
Nélson Semedo,POR,Wolves,31-149,DF,€8.3M
Ola Aina,NGA,Nott'ham Forest,28-188,DF,
Ollie Watkins,ENG,Aston Villa,29-105,FW,€63.2M
Omari Hutchinson,ENG,Ipswich Town,21-166,"MF,FW",
Orel Mangala,BEL,Everton,27-027,MF,€24.4M
Pape Matar Sarr,SEN,Tottenham,22-212,MF,€50.8M
Pau Torres,ESP,Aston Villa,28-088,DF,€46.1M
Paul Onuachu,NGA,Southampton,30-321,FW,€12.7M
Pedro Neto,POR,Chelsea,25-036,FW,€60.4M
Pedro Porro,ESP,Tottenham,25-213,DF,€55.9M
Pervis Estupiñán,ECU,Brighton,27-083,DF,€35.4M
